model_id	revision	file	hash
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	config.json	sha256-dGO7DqeDFTZebGt03k5zu8yDWd+wxac3WE4HfULAsDw=
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	generation_config.json	sha256-Oo+Qh+SGBUyKSgja4uWjumLiPaIStbjAi8QsuYPDRZ8=
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	model.safetensors.index.json	sha256-Ykv3xHzRJGj9wW44pHz08Z4EFbhZoiO6PAJ+7S8OECg=
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	model-00001-of-00004.safetensors	sha256-oTM+YpOFR0fEgSiOqDs0giavF43VZcSbb5SVuhlmq6c=
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	model-00002-of-00004.safetensors	sha256-9dJaJ3LLglFkoqLA+21RqH4oKr8h5N11vFz7PNDqYYU=
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	model-00003-of-00004.safetensors	sha256-jv3sTBvBIxeuGjjcQrWVznd3OKZN7qP8uKCpE4G839U=
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	model-00004-of-00004.safetensors	sha256-GnLUA83wwew8t/KJ8Xs5SgHmQ5TC6bPA+U284/r4eb0=
