timestamp_epoch	sample_index	pid	ppid	name	state	vmrss_kb	vmhwm_kb	vmsize_kb	threads
1777046718	1	594449	594441	nix	R	36984	36984	669180	17
1777046718	1	594451	594449	tee	S	1856	1856	17400	1
1777046719	2	594449	594441	nix	R	49672	49672	683648	17
1777046719	2	594451	594449	tee	S	1856	1856	17400	1
1777046724	3	594449	594441	nix	S	512576	512576	819732	17
1777046724	3	594451	594449	tee	S	1856	1856	17400	1
1777046729	4	594449	594441	nix	S	565464	565464	823844	17
1777046729	4	594451	594449	tee	S	1856	1856	17400	1
