label,vocab_size,hidden_size,max_position_embeddings,lm_head_tied,unique_persistent_f32_bytes,unique_persistent_f32_bram36_ceiling,unique_persistent_f32_bram36_pct,unique_persistent_f32_fits_bram,unique_rowwise_int8_bytes,unique_rowwise_int8_bram36_ceiling,unique_rowwise_int8_bram36_pct,unique_rowwise_int8_fits_bram,unique_rowwise_int4_bytes,unique_rowwise_int4_bram36_ceiling,unique_rowwise_int4_bram36_pct,unique_rowwise_int4_fits_bram,output_projection_macs,output_projection_min_compute_cycles,output_projection_f32_bytes_per_token,output_projection_int8_topk_stream_bytes_per_token
tiny-stories-v1k-h64-l1,1024,64,128,True,294912,64,6.701570680628273,True,78336,17,1.780104712041885,True,41472,9,0.9424083769633508,True,65536,16384,266496,69696
tiny-stories-v4k-h64-l1,4096,64,128,True,1081344,235,24.60732984293194,True,287232,63,6.596858638743456,True,152064,33,3.4554973821989527,True,262144,65536,1065216,278592
tiny-stories-v10k-h64-l1,10000,64,128,True,2592768,563,58.95287958115183,True,688704,150,15.706806282722512,True,364608,80,8.37696335078534,True,640000,160000,2600256,680064
tiny-stories-1m-full,50257,64,2048,True,13390080,2906,304.29319371727746,False,3556740,772,80.83769633507853,True,1882980,409,42.82722513089005,True,3216448,804112,13067076,3417540
