rung,scope,layers,hidden_size,vocab_size,in_features,out_features,macs_per_token,dsp_lanes,min_compute_cycles,weight_f32_bytes,bias_f32_bytes,input_f32_bytes,output_f32_bytes,min_f32_bytes_per_token,min_int8_weight_bytes_per_token,min_int4_weight_bytes_per_token,f32_bytes_per_cycle,int8_weight_bytes_per_cycle,int4_weight_bytes_per_cycle,notes
tiny-stories-v1k-h64-l1,full_mlp_stack,1,64,1024,,,32768,4,8192,131072,1280,1280,1280,134912,36608,20224,16.46875,4.46875,2.46875,per_block_mlp multiplied by layer count
tiny-stories-v1k-h64-l1,per_block_mlp,1,64,1024,,,32768,4,8192,131072,1280,1280,1280,134912,36608,20224,16.46875,4.46875,2.46875,sum of available c_fc/c_proj manifests
tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,1,64,1024,64,256,16384,4,4096,65536,1024,256,1024,67840,18688,10496,16.5625,4.5625,2.5625,from artifacts/task6/weights_pack/tiny-stories-v1k-h64-l1/transformer.h.0.mlp.c_fc/manifest.json
tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,1,64,1024,256,64,16384,4,4096,65536,256,1024,256,67072,17920,9728,16.375,4.375,2.375,from artifacts/task6/weights_pack/tiny-stories-v1k-h64-l1/transformer.h.0.mlp.c_proj/manifest.json
tiny-stories-v4k-h64-l1,full_mlp_stack,1,64,4096,,,32768,4,8192,131072,1280,1280,1280,134912,36608,20224,16.46875,4.46875,2.46875,per_block_mlp multiplied by layer count
tiny-stories-v4k-h64-l1,per_block_mlp,1,64,4096,,,32768,4,8192,131072,1280,1280,1280,134912,36608,20224,16.46875,4.46875,2.46875,sum of available c_fc/c_proj manifests
tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_fc,1,64,4096,64,256,16384,4,4096,65536,1024,256,1024,67840,18688,10496,16.5625,4.5625,2.5625,from artifacts/task6/weights_pack/tiny-stories-v4k-h64-l1/transformer.h.0.mlp.c_fc/manifest.json
tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_proj,1,64,4096,256,64,16384,4,4096,65536,256,1024,256,67072,17920,9728,16.375,4.375,2.375,from artifacts/task6/weights_pack/tiny-stories-v4k-h64-l1/transformer.h.0.mlp.c_proj/manifest.json
