artifact,source_path,kind,verdict,lut,ff,dsp,bram36,bram36_equiv,lut_pct,ff_pct,dsp_pct,bram36_pct,wall_s,rss_kb,hwm_kb,verilator_status,stores,outputs,cycles_per_token,bytes_per_token,fail_reason,top_owners,top_leaf_cell_types
top34-memory,artifacts/task6/runs/2026-04-28T03-11-30+0200-baseline-top34-memory-utilization-filterfix-json-rerun,monitored-utilization-run,pass,56899009,58496710,0,0,0.0,19055.26,9795.16,0.0,0.0,294,22539800,23849916,,,,,,,"handshake_buffer_in_ui64_out_ui64_2slots_seq:count=168260,lut=34156780,ff=43747600; handshake_buffer_in_f64_out_f64_2slots_seq:count=28455,lut=5776365,ff=7398300; handshake_buffer_in_f32_out_f32_2slots_seq:count=50929,lut=5449403,ff=6722628; math_fpowi_in_f32_ui64_out_f32:count=8,lut=2962672,ff=0; handshake_mux_in_ui64_ui64_ui64_out_ui64:count=21980,lut=1494640,ff=0; handshake_mux_in_ui1_ui64_ui64_out_ui64:count=10442,lut=710056,ff=0; arith_mulf_in_f32_f32_out_f32:count=149,lut=681973,ff=0; arith_divf_in_f32_f32_out_f32:count=42,lut=657090,ff=0; handshake_memory_out_f32_id77:count=1,lut=631072,ff=8360; handshake_memory_out_f32_id25:count=1,lut=340924,ff=2437; math_rsqrt_in_f32_out_f32:count=17,lut=333948,ff=0; arith_addf_in_f32_f32_out_f32:count=206,lut=321360,ff=0; arith_shli_in_ui64_ui64_out_ui64:count=1249,lut=296013,ff=0; handshake_mux_in_ui64_f64_f64_out_f64:count=3730,lut=253640,ff=0; arith_addi_in_ui64_ui64_out_ui64:count=3704,lut=244464,ff=0; handshake_mux_in_ui64_f32_f32_out_f32:count=6246,lut=224856,ff=0; math_exp_in_f32_out_f32:count=8,lut=216360,ff=0; math_tanh_in_f32_out_f32:count=8,lut=162904,ff=0; handshake_mux_in_ui1_f64_f64_out_f64:count=1961,lut=133348,ff=0; handshake_mux_in_ui1_f32_f32_out_f32:count=3291,lut=118476,ff=0",FDRE=58495964; LUT3=34499183; LUT6=16621623; LUT2=3168604; LUT4=1546226; MUXF7=1239366; LUT5=711302; MUXF8=373079; LUT1=352071; CARRY4=344839; INV=223486; FDSE=675
l1-c-fc-frozen,artifacts/task6-streamtensor-lite/runs/2026-04-24T00-10-27+0200/stage-local-l1,stage-local-summary,pass,29778,46352,4,0,,,,,,3.2,563220,,PASS: stores 16 outputs 16,16,16,,,,,
l2-c-fc-tile4x64,artifacts/task6-streamtensor-lite/runs/2026-04-24T00-10-36+0200/stage-local-l2,stage-local-summary,fail-lut,31907,45932,4,0,,,,,,3.16,563344,,PASS: stores 256 outputs 256,256,256,,,fail-lut,,
