artifact,model_label,module_name,quantization,weight_numel,weight_value_storage_bytes,scale_storage_bytes,total_weight_storage_bytes,scale,max_abs_error,mean_abs_error,rmse,normalized_rmse,signal_max_abs,signal_mean_abs,verdict
l1-c_fc,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_fc,int8-per-tensor-symmetric,64,64,4,68,0.0004313938085019119,0.0005054756123861436,0.00022516603749786119,0.00026929686339060194,0.00674049520470555,0.06550561636686325,0.035305470613820944,pass
l1-c_fc,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_fc,int8-per-output-symmetric,64,64,64,128,min=6.87568397e-05;max=0.000431393809;count=16,0.00024426791775852483,8.083044098927499e-05,0.00011101967871495264,0.0027788203790575774,0.06550561636686325,0.035305470613820944,pass
l1-c_fc,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_fc,int4-per-tensor-symmetric,64,32,4,36,0.007826716239963259,0.00823521683408282,0.0037772012008429863,0.004456109756360989,0.11153633973384441,0.06550561636686325,0.035305470613820944,fail
l1-c_fc,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_fc,int4-per-output-symmetric,64,32,64,96,min=0.00124744552;max=0.00782671624;count=16,0.0061161894146460755,0.001673340180396693,0.002256007609499235,0.05646782618315306,0.06550561636686325,0.035305470613820944,fail
l1-c_proj,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_proj,int8-per-tensor-symmetric,64,64,4,68,0.000333538909596721,1.0836961539427035e-05,5.558366644508258e-06,6.7790727291109415e-06,0.006084917057646956,0.002189736580476165,0.0006943113148736302,pass
l1-c_proj,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_proj,int8-per-output-symmetric,64,64,16,80,min=0.000239133263;max=0.00033353891;count=4,1.438165449542091e-05,4.425455809364069e-06,7.327669968038316e-06,0.006577339669163177,0.002189736580476165,0.0006943113148736302,pass
l1-c_proj,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_proj,int4-per-tensor-symmetric,64,32,4,36,0.0060513487883976525,0.0002098470992853634,0.00013123506793783916,0.00014010056077483045,0.12575470512122283,0.002189736580476165,0.0006943113148736302,fail
l1-c_proj,tiny-stories-1m-representative-core-v64-h4,transformer.h.0.mlp.c_proj,int4-per-output-symmetric,64,32,16,48,min=0.00433856063;max=0.00605134879;count=4,0.0002102281021663272,0.0001551261465334621,0.00016036290704034278,0.14394225102104902,0.002189736580476165,0.0006943113148736302,fail
l2-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int8-per-tensor-symmetric,16384,16384,4,16388,0.0005978438563234224,0.004583231607186877,0.0011025180618795898,0.0013966706918271874,0.009912059714714004,0.38926950097084045,0.11327259177363658,pass
l2-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int8-per-output-symmetric,16384,16384,1024,17408,min=0.00026671917;max=0.000597843856;count=256,0.002483899074624721,0.0007519128228484972,0.0009241607810246923,0.006558694831298792,0.38926950097084045,0.11327259177363658,pass
l2-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int4-per-tensor-symmetric,16384,8192,4,8196,0.010846595679010664,0.06138677942028224,0.01810646731496808,0.02254412245351671,0.15999382623454617,0.38926950097084045,0.11327259177363658,fail
l2-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int4-per-output-symmetric,16384,8192,1024,9216,min=0.00483904779;max=0.0108465957;count=256,0.05257379448942068,0.01390842946268633,0.017280926453694497,0.12264134698102101,0.38926950097084045,0.11327259177363658,fail
l2-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int8-per-tensor-symmetric,16384,16384,4,16388,0.0006334623248558345,0.0004923202379990485,0.00015998169044565685,0.00020649521796992025,0.008807758330162872,0.07794594764709473,0.01680324105359432,pass
l2-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int8-per-output-symmetric,16384,16384,256,16640,min=0.000404058244;max=0.000633462325;count=64,0.00036018251354807994,0.00012514423188650167,0.00015554626036314118,0.006634603376813824,0.07794594764709473,0.01680324105359432,pass
l2-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int4-per-tensor-symmetric,16384,8192,4,8196,0.011492816465241569,0.010361463962729274,0.0035073937607282683,0.0043545664352682405,0.18573780628696412,0.07794594764709473,0.01680324105359432,fail
l2-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int4-per-output-symmetric,16384,8192,256,8448,min=0.007330771;max=0.0114928165;count=64,0.005687408588077467,0.002116989799639878,0.0026148663111348115,0.11153338445597703,0.07794594764709473,0.01680324105359432,fail
